name,location,cuisine,cost_for_two,rating,restaurant_id,is_active,source_updated_at,ingested_at,budget_tier
Samaroh,Bellandur,North Indian,1200.0,4.0,gen_4095,True,,2026-05-15T17:50:27,medium
Zaica Dine & Wine,Indiranagar,North Indian,1200.0,4.0,gen_17541,True,,2026-05-15T17:50:27,medium
Zaica Dine & Wine,Nagawara,"North Indian, Mughlai",1200.0,4.0,gen_24072,True,,2026-05-15T17:50:27,medium
Peacock,Indiranagar,"North Indian, BBQ, Mughlai",1200.0,4.0,gen_42550,True,,2026-05-15T17:50:27,medium
White Smoke Barbeque- Fairfield by Marriott,Rajajinagar,"Mediterranean, BBQ",1200.0,4.0,gen_46788,True,,2026-05-15T17:50:27,medium
Watson's,JP Nagar,"Finger Food, Chinese, Continental",1300.0,4.0,gen_1366,True,,2026-05-15T17:50:27,medium
Caffe Pascucci,JP Nagar,"Continental, Italian, Beverages",1300.0,4.0,gen_1424,True,,2026-05-15T17:50:27,medium
Xtreme Sports Bar,Sarjapur Road,"Continental, Chinese, North Indian",1300.0,4.0,gen_3772,True,,2026-05-15T17:50:27,medium
Brimstone Cafe,HSR,"Cafe, Continental, Salad, Italian",1300.0,4.0,gen_4164,True,,2026-05-15T17:50:27,medium
Tiger Trail - Ramada Hotel,Shivajinagar,"North Indian, Lucknowi",1300.0,4.0,gen_5004,True,,2026-05-15T17:50:27,medium
Ente Keralam,Ulsoor,"Kerala, Seafood",1300.0,4.0,gen_5588,True,,2026-05-15T17:50:27,medium
Roomali,Church Street,North Indian,1300.0,4.0,gen_6154,True,,2026-05-15T17:50:27,medium
Quench Bar,Domlur,"Seafood, Mexican, Continental, Finger Food",1300.0,4.0,gen_19017,True,,2026-05-15T17:50:27,medium
Agent Jack's Bar,Kalyan Nagar,"Continental, North Indian, Italian",1300.0,4.0,gen_24715,True,,2026-05-15T17:50:27,medium
Brunchilly,Marathahalli,"North Indian, Continental",1300.0,4.0,gen_40519,True,,2026-05-15T17:50:27,medium
Bazaar - Zone By The Park,Electronic City,"Continental, South Indian, North Indian, Asian",1400.0,4.0,gen_13376,True,,2026-05-15T17:50:27,medium
20 Char - Sterlings MAC Hotel,Old Airport Road,"Chinese, Continental, North Indian, South Indian, Arabian",1400.0,4.0,gen_17556,True,,2026-05-15T17:50:27,medium
Bottle & Glass,Indiranagar,"Continental, Chinese, Italian",1400.0,4.0,gen_18077,True,,2026-05-15T17:50:27,medium
Arirang Korean Restaurant,Kammanahalli,Korean,1400.0,4.0,gen_24844,True,,2026-05-15T17:50:27,medium
The Studio Bar,Malleshwaram,"Italian, American, North Indian",1400.0,4.0,gen_40110,True,,2026-05-15T17:50:27,medium
Mughlai Azam,New BEL Road,"Mughlai, Biryani, North Indian",1400.0,4.0,gen_44024,True,,2026-05-15T17:50:27,medium
Noodle Bar,Whitefield,"Chinese, Momos",1400.0,4.0,gen_50566,True,,2026-05-15T17:50:27,medium
Kitchen On Table,Brigade Road,"Japanese, Sushi, Asian",1500.0,4.0,gen_4976,True,,2026-05-15T17:50:27,medium
Slounge - Lemon Tree Premier,Ulsoor,Finger Food,1500.0,4.0,gen_6239,True,,2026-05-15T17:50:27,medium
Bufferia,Marathahalli,"Asian, Continental, European, Mediterranean",1500.0,4.0,gen_6752,True,,2026-05-15T17:50:27,medium
Marigold Fine Dine Restaurant,Whitefield,"Continental, Asian",1500.0,4.0,gen_6757,True,,2026-05-15T17:50:27,medium
Cilantro,Koramangala 4th Block,"European, American, Continental, North Indian, Steak",1500.0,4.0,gen_10149,True,,2026-05-15T17:50:27,medium
Sky Lounge Bar - Svenska Design Hotel,Electronic City,"North Indian, Pizza, Asian, Italian",1500.0,4.0,gen_13631,True,,2026-05-15T17:50:27,medium
Sherlock's Pub,Frazer Town,"Continental, North Indian, Chinese",1500.0,4.0,gen_15051,True,,2026-05-15T17:50:27,medium
Hangover,Indiranagar,"Thai, Chinese, North Indian, Continental, Steak",1500.0,4.0,gen_18730,True,,2026-05-15T17:50:27,medium
The Underpass Pub & Grub,JP Nagar,"Finger Food, Continental, North Indian, Chinese",1500.0,4.0,gen_21314,True,,2026-05-15T17:50:27,medium
Kobe Sizzlers,Nagawara,"American, Continental, Fast Food, Steak",1500.0,4.0,gen_24134,True,,2026-05-15T17:50:27,medium
Wanderers,Kalyan Nagar,"Continental, North Indian, South Indian, Italian",1500.0,4.0,gen_24689,True,,2026-05-15T17:50:27,medium
Bold,Marathahalli,"Modern Indian, Continental, North Indian",1500.0,4.0,gen_42150,True,,2026-05-15T17:50:27,medium
Sherlock's Pub,Indiranagar,"Continental, North Indian, Chinese",1500.0,4.0,gen_45857,True,,2026-05-15T17:50:27,medium
Smaaash,Whitefield,"North Indian, Pizza, Chinese",1500.0,4.0,gen_51122,True,,2026-05-15T17:50:27,medium
Loveshack,Domlur,"Continental, Pizza, North Indian, Goan, Burger, Cafe",1600.0,4.0,gen_18371,True,,2026-05-15T17:50:27,high
Loveshack,Domlur,"Continental, Pizza, North Indian, Goan, Cafe",1600.0,4.0,gen_44755,True,,2026-05-15T17:50:27,high
Puran da Dhaba - The Pride Hotel,Richmond Road,North Indian,1700.0,4.0,gen_6163,True,,2026-05-15T17:50:27,high
The Hub & The Bar - Hotel Ramada Encore,Domlur,"North Indian, Continental, Chinese, European",1700.0,4.0,gen_17547,True,,2026-05-15T17:50:27,high
The Eatery - Four Points by Sheraton Bengaluru,Whitefield,"Continental, North Indian",1700.0,4.0,gen_51092,True,,2026-05-15T17:50:27,high
Kava - Fairfield by Marriott,Rajajinagar,"North Indian, South Indian, Continental",1800.0,4.0,gen_46140,True,,2026-05-15T17:50:27,high
Ginseng - Royal Orchid Hotel,Old Airport Road,"Chinese, Thai, Asian",1900.0,4.0,gen_18329,True,,2026-05-15T17:50:27,high
Northern Gate- Gateway Hotel,Residency Road,North Indian,1900.0,4.0,gen_37700,True,,2026-05-15T17:50:27,high
NoLimmits Lounge and Club,Brigade Road,"Chinese, Continental, North Indian, Burger, Pizza",2000.0,4.0,gen_5339,True,,2026-05-15T17:50:27,high
WelcomCafe Jacaranda - WelcomHotel Bengaluru,Richmond Road,"Asian, Continental, North Indian",2000.0,4.0,gen_6140,True,,2026-05-15T17:50:27,high
Tasting Room - Bengaluru Oota Company,Ulsoor,"Mangalorean, South Indian",2000.0,4.0,gen_6209,True,,2026-05-15T17:50:27,high
The Ritz-Carlton Bar - The Ritz-Carlton,Residency Road,Finger Food,2000.0,4.0,gen_6236,True,,2026-05-15T17:50:27,high
The Tao Terraces,MG Road,"Thai, Japanese, Korean, Burmese, Chinese",2100.0,4.0,gen_4983,True,,2026-05-15T17:50:27,high
East- The Oterra,Electronic City,"Chinese, Vietnamese, Thai, Malaysian",2200.0,4.0,gen_14102,True,,2026-05-15T17:50:27,high
Limelight - Royal Orchid Hotel,Old Airport Road,"Continental, North Indian",2200.0,4.0,gen_17554,True,,2026-05-15T17:50:27,high
OKO - The Lalit Ashok Bangalore,Seshadripuram,"Japanese, Asian",2200.0,4.0,gen_40285,True,,2026-05-15T17:50:27,high
XU,Old Airport Road,"European, Spanish, Continental, Italian",2400.0,4.0,gen_19138,True,,2026-05-15T17:50:27,high
Blue Bar - The Taj West End,Race Course Road,Continental,2500.0,4.0,gen_13075,True,,2026-05-15T17:50:27,high
The Terminus - The Oterra,Electronic City,"Finger Food, Continental",2500.0,4.0,gen_14099,True,,2026-05-15T17:50:27,high
Alloro - The Oterra,Electronic City,Italian,2500.0,4.0,gen_14123,True,,2026-05-15T17:50:27,high
Incanto - The Zuri,Whitefield,Italian,2500.0,4.0,gen_51129,True,,2026-05-15T17:50:27,high
Aqua - The Park Bangalore,MG Road,"North Indian, Mediterranean, Chinese",3000.0,4.0,gen_6647,True,,2026-05-15T17:50:27,high
24/7 - The Lalit Ashok Bangalore,Seshadripuram,"Continental, North Indian, Italian, Chinese",3000.0,4.0,gen_39420,True,,2026-05-15T17:50:27,high
Terracotta Whitefield,Whitefield,"North Indian, Lucknowi, Afghan",3000.0,4.0,gen_51152,True,,2026-05-15T17:50:27,high
Baluchi - The Lalit Ashok Bangalore,Seshadripuram,"North Indian, Kashmiri, Mughlai",3700.0,4.0,gen_40289,True,,2026-05-15T17:50:27,high
Srinidhi Sagar,Old Airport Road,"South Indian, North Indian, Chinese",40.0,3.9,gen_17774,True,,2026-05-15T17:50:27,low
Maaheshwari Chaat Wala,Ulsoor,Street Food,100.0,3.9,gen_6432,True,,2026-05-15T17:50:27,low
SLN Lunch Home,City Market,South Indian,100.0,3.9,gen_6556,True,,2026-05-15T17:50:27,low
Sri Annapoorna Bajji Center,Jayanagar,"Mithai, Street Food",100.0,3.9,gen_10321,True,,2026-05-15T17:50:27,low
L J Iyengar Bakery,HSR,Bakery,100.0,3.9,gen_16876,True,,2026-05-15T17:50:27,low
Taaza Mithai,JP Nagar,"Mithai, Street Food",100.0,3.9,gen_19657,True,,2026-05-15T17:50:27,low
Karnataka Bhel House,Jayanagar,Street Food,100.0,3.9,gen_21185,True,,2026-05-15T17:50:27,low
Shree Mahalakshmi Sweets,Basaveshwara Nagar,"Mithai, Street Food",100.0,3.9,gen_39853,True,,2026-05-15T17:50:27,low
Majaa Thindi,New BEL Road,South Indian,100.0,3.9,gen_44577,True,,2026-05-15T17:50:27,low
Brahmins' Thatte Idli,Rajajinagar,South Indian,100.0,3.9,gen_46463,True,,2026-05-15T17:50:27,low
Hot Coffee,Vijay Nagar,South Indian,100.0,3.9,gen_47082,True,,2026-05-15T17:50:27,low
Chatori Tongue,Sarjapur Road,Street Food,100.0,3.9,gen_48983,True,,2026-05-15T17:50:27,low
Lassi Shop,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",150.0,3.9,gen_158,True,,2026-05-15T17:50:27,low
Eat Repeat,Basavanagudi,South Indian,150.0,3.9,gen_375,True,,2026-05-15T17:50:27,low
Ingu Tengu,Bannerghatta Road,South Indian,150.0,3.9,gen_2073,True,,2026-05-15T17:50:27,low
Sreeraj Lassi Bar,Shanti Nagar,"Beverages, Desserts",150.0,3.9,gen_2736,True,,2026-05-15T17:50:27,low
Amritsari Kulcha Bite,Ulsoor,North Indian,150.0,3.9,gen_5479,True,,2026-05-15T17:50:27,low
Santhanam Sweets & Savouries,Commercial Street,"Mithai, Street Food",150.0,3.9,gen_5874,True,,2026-05-15T17:50:27,low
Sri Saravana Bhavan,Commercial Street,South Indian,150.0,3.9,gen_6369,True,,2026-05-15T17:50:27,low
Davanagere Benne Dose,HSR,South Indian,150.0,3.9,gen_8662,True,,2026-05-15T17:50:27,low
Juice Junction,Koramangala 5th Block,"Juices, Fast Food",150.0,3.9,gen_8739,True,,2026-05-15T17:50:27,low
Om Sweets & Snacks,Koramangala 5th Block,"Mithai, Oriya, Bengali",150.0,3.9,gen_10173,True,,2026-05-15T17:50:27,low
Sreeraj Lassi Bar,Shivajinagar,"Beverages, Desserts",150.0,3.9,gen_12426,True,,2026-05-15T17:50:27,low
Sreeraj Lassi Bar,Race Course Road,"Beverages, Desserts",150.0,3.9,gen_14931,True,,2026-05-15T17:50:27,low
Chetty's Coffee,Indiranagar,South Indian,150.0,3.9,gen_15024,True,,2026-05-15T17:50:27,low
Sreeraj Lassi Bar,Commercial Street,Beverages,150.0,3.9,gen_18065,True,,2026-05-15T17:50:27,low
Soup Station,Domlur,"Healthy Food, Sandwich, Salad",150.0,3.9,gen_18320,True,,2026-05-15T17:50:27,low
Sendhoor Coffee,Indiranagar,"Coffee, Street Food",150.0,3.9,gen_18859,True,,2026-05-15T17:50:27,low
Om Sai Skanda Dosa Camp,Indiranagar,South Indian,150.0,3.9,gen_18926,True,,2026-05-15T17:50:27,low
The Punjabi Bites,Old Airport Road,North Indian,150.0,3.9,gen_19176,True,,2026-05-15T17:50:27,low
Vijayalakshmi Veg,Nagawara,South Indian,150.0,3.9,gen_26468,True,,2026-05-15T17:50:27,low
Sreeraj Lassi Bar,Shanti Nagar,"Beverages, Desserts, Juices",150.0,3.9,gen_35426,True,,2026-05-15T17:50:27,low
Surya Refreshments,Malleshwaram,South Indian,150.0,3.9,gen_39705,True,,2026-05-15T17:50:27,low
Sreeraj Lassi Bar,Shivajinagar,"Beverages, Desserts, Juices",150.0,3.9,gen_43100,True,,2026-05-15T17:50:27,low
Froststicks,Malleshwaram,"Desserts, Ice Cream",150.0,3.9,gen_46707,True,,2026-05-15T17:50:27,low
Bombay Kulfi,Marathahalli,"Desserts, Ice Cream",150.0,3.9,gen_49043,True,,2026-05-15T17:50:27,low
Udupi Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",200.0,3.9,gen_197,True,,2026-05-15T17:50:27,low
Gama Gama,Banashankari,South Indian,200.0,3.9,gen_199,True,,2026-05-15T17:50:27,low
Millet Mama,Basavanagudi,"South Indian, Healthy Food",200.0,3.9,gen_288,True,,2026-05-15T17:50:27,low
Chinese Square,Basavanagudi,Chinese,200.0,3.9,gen_463,True,,2026-05-15T17:50:27,low
Kullad Cafe,BTM,"North Indian, Cafe, Fast Food, Beverages",200.0,3.9,gen_953,True,,2026-05-15T17:50:27,low
Chaatimes,JP Nagar,"Street Food, Fast Food",200.0,3.9,gen_1083,True,,2026-05-15T17:50:27,low
Garden Fresh,BTM,"Healthy Food, Juices",200.0,3.9,gen_1285,True,,2026-05-15T17:50:27,low
Sree Krishna Kafe,JP Nagar,South Indian,200.0,3.9,gen_1722,True,,2026-05-15T17:50:27,low
Ishta Cafe,Bannerghatta Road,"Pizza, South Indian, Healthy Food",200.0,3.9,gen_1800,True,,2026-05-15T17:50:27,low
Tiwari's,Bannerghatta Road,"North Indian, Street Food",200.0,3.9,gen_2117,True,,2026-05-15T17:50:27,low
Pani Kum Chai,Jayanagar,Fast Food,200.0,3.9,gen_2627,True,,2026-05-15T17:50:27,low
Sandwichwallas,Jayanagar,Fast Food,200.0,3.9,gen_2648,True,,2026-05-15T17:50:27,low
Vakulaa Veg Restaurant,Jayanagar,"South Indian, North Indian",200.0,3.9,gen_2680,True,,2026-05-15T17:50:27,low
Bhavani Chats N Juice,Jayanagar,"Beverages, Street Food",200.0,3.9,gen_2709,True,,2026-05-15T17:50:27,low
Bakers Day,Basavanagudi,"Bakery, Desserts",200.0,3.9,gen_2889,True,,2026-05-15T17:50:27,low
Mishra's Pedha Big Foods,Jayanagar,"Desserts, Mithai",200.0,3.9,gen_3085,True,,2026-05-15T17:50:27,low
Kulfreeze,Jayanagar,"Ice Cream, Desserts",200.0,3.9,gen_3283,True,,2026-05-15T17:50:27,low
Chaatimes,Basavanagudi,"Street Food, Fast Food",200.0,3.9,gen_3392,True,,2026-05-15T17:50:27,low
Kesar Rajasthani Parotha Point,Basavanagudi,"North Indian, Rajasthani",200.0,3.9,gen_3406,True,,2026-05-15T17:50:27,low
Imperio Cafe,Whitefield,"Cafe, Fast Food, Pizza, Burger, Beverages",200.0,3.9,gen_3801,True,,2026-05-15T17:50:27,low
Kairali Restaurant,Bellandur,Kerala,200.0,3.9,gen_3875,True,,2026-05-15T17:50:27,low
Atithi Sambrama,Sarjapur Road,"South Indian, North Indian, Chinese",200.0,3.9,gen_3885,True,,2026-05-15T17:50:27,low
KC Das,MG Road,"Mithai, Street Food",200.0,3.9,gen_5150,True,,2026-05-15T17:50:27,low
Vijayalakshmi Veg,Frazer Town,South Indian,200.0,3.9,gen_5217,True,,2026-05-15T17:50:27,low
MiniMelts,Brigade Road,"Ice Cream, Desserts",200.0,3.9,gen_5514,True,,2026-05-15T17:50:27,low
Hotel Ajantha,MG Road,South Indian,200.0,3.9,gen_6393,True,,2026-05-15T17:50:27,low
Bombay Kulfis,Koramangala 5th Block,Ice Cream,200.0,3.9,gen_6668,True,,2026-05-15T17:50:27,low
Gelato Italiano,Koramangala 5th Block,"Ice Cream, Bakery, Desserts",200.0,3.9,gen_6673,True,,2026-05-15T17:50:27,low
Juicy,Koramangala 5th Block,"Beverages, Juices, Fast Food",200.0,3.9,gen_6674,True,,2026-05-15T17:50:27,low
Mother's Food,Whitefield,"North Indian, Chinese",200.0,3.9,gen_7547,True,,2026-05-15T17:50:27,low
Vijayalakshmi Veg,Jayanagar,South Indian,200.0,3.9,gen_8517,True,,2026-05-15T17:50:27,low
Sangam Sweets,HSR,"Mithai, Street Food",200.0,3.9,gen_8521,True,,2026-05-15T17:50:27,low
Lassi Shop,BTM,"Beverages, Ice Cream",200.0,3.9,gen_8609,True,,2026-05-15T17:50:27,low
Hatti Kaapi,Koramangala 5th Block,"South Indian, Beverages",200.0,3.9,gen_8784,True,,2026-05-15T17:50:27,low
Sri Devi Baker's,BTM,"Bakery, Street Food",200.0,3.9,gen_10223,True,,2026-05-15T17:50:27,low
Banchharam,Koramangala 7th Block,"Street Food, Mithai",200.0,3.9,gen_10291,True,,2026-05-15T17:50:27,low
Lassi Shop,Church Street,"Beverages, Ice Cream",200.0,3.9,gen_11782,True,,2026-05-15T17:50:27,low
Hatti Kaapi,Brigade Road,"South Indian, Beverages",200.0,3.9,gen_11823,True,,2026-05-15T17:50:27,low
Juicy,Electronic City,"Beverages, Juices, Fast Food",200.0,3.9,gen_13644,True,,2026-05-15T17:50:27,low
Sanjeevini Veg,Electronic City,South Indian,200.0,3.9,gen_14300,True,,2026-05-15T17:50:27,low
Shahi Kabab,Frazer Town,Rolls,200.0,3.9,gen_15460,True,,2026-05-15T17:50:27,low
Lassi Shop,Bellandur,"Beverages, Ice Cream",200.0,3.9,gen_15887,True,,2026-05-15T17:50:27,low
Soup Station,Koramangala 4th Block,"Healthy Food, Sandwich, Salad",200.0,3.9,gen_16615,True,,2026-05-15T17:50:27,low
Chai Cafe,Indiranagar,Cafe,200.0,3.9,gen_17610,True,,2026-05-15T17:50:27,low
Bharpur Aahar,Jeevan Bhima Nagar,"North Indian, Chinese",200.0,3.9,gen_17672,True,,2026-05-15T17:50:27,low
Gooey & Fluffy,Thippasandra,"Desserts, Bakery",200.0,3.9,gen_17972,True,,2026-05-15T17:50:27,low
La Madeleine Patisserie,Indiranagar,Bakery,200.0,3.9,gen_18200,True,,2026-05-15T17:50:27,low
Banchharam,Ulsoor,"Street Food, Mithai",200.0,3.9,gen_18624,True,,2026-05-15T17:50:27,low
Lassi Shop,JP Nagar,"Beverages, Ice Cream",200.0,3.9,gen_19664,True,,2026-05-15T17:50:27,low
Havmor,Basavanagudi,"Ice Cream, Desserts",200.0,3.9,gen_19955,True,,2026-05-15T17:50:27,low
Pabrai's Fresh & Naturelle Icecreams,Koramangala 5th Block,"Ice Cream, Desserts",200.0,3.9,gen_20658,True,,2026-05-15T17:50:27,low
Delicious Momos,Kalyan Nagar,"Street Food, Momos",200.0,3.9,gen_24329,True,,2026-05-15T17:50:27,low
Delicious Momos,Kalyan Nagar,"Chinese, Momos",200.0,3.9,gen_26197,True,,2026-05-15T17:50:27,low
Falahaar,Koramangala 6th Block,"North Indian, Street Food",200.0,3.9,gen_27862,True,,2026-05-15T17:50:27,low
Momo Blues,Koramangala 5th Block,"Chinese, Momos, Nepalese, Tibetan",200.0,3.9,gen_35257,True,,2026-05-15T17:50:27,low
Mountain Spice,Koramangala 8th Block,Chinese,200.0,3.9,gen_36970,True,,2026-05-15T17:50:27,low
Quickie's,Seshadripuram,"Fast Food, Rolls",200.0,3.9,gen_37899,True,,2026-05-15T17:50:27,low
MiniMelts,Brigade Road,Ice Cream,200.0,3.9,gen_38315,True,,2026-05-15T17:50:27,low
Tea Samskruthi,Malleshwaram,Cafe,200.0,3.9,gen_39435,True,,2026-05-15T17:50:27,low
Chaatimes,Malleshwaram,"Street Food, Fast Food",200.0,3.9,gen_39461,True,,2026-05-15T17:50:27,low
Lassi Shop,Rajajinagar,"Beverages, Ice Cream",200.0,3.9,gen_39495,True,,2026-05-15T17:50:27,low
Antarastriya,Malleshwaram,"Chinese, Fast Food, Momos",200.0,3.9,gen_39583,True,,2026-05-15T17:50:27,low
Absolute Waffles,New BEL Road,"Desserts, Fast Food",200.0,3.9,gen_39751,True,,2026-05-15T17:50:27,low
Hari Super Sandwich,Malleshwaram,"Fast Food, Street Food",200.0,3.9,gen_40173,True,,2026-05-15T17:50:27,low
Hotel Ayodhya Upahar,Sadashiv Nagar,"South Indian, Chinese",200.0,3.9,gen_40319,True,,2026-05-15T17:50:27,low
CakeZone,"Varthur Main Road, Whitefield","Bakery, Desserts",200.0,3.9,gen_40596,True,,2026-05-15T17:50:27,low
Snack House,Indiranagar,"Fast Food, Momos",200.0,3.9,gen_42418,True,,2026-05-15T17:50:27,low
Sendhoor Coffee,Indiranagar,"Coffee, South Indian",200.0,3.9,gen_43737,True,,2026-05-15T17:50:27,low
Chatora Singh,Old Airport Road,"North Indian, Fast Food",200.0,3.9,gen_45239,True,,2026-05-15T17:50:27,low
Tumbites,Bellandur,North Indian,200.0,3.9,gen_49872,True,,2026-05-15T17:50:27,low
Imperio Cafe,Whitefield,"South Indian, Fast Food, Beverages",200.0,3.9,gen_50118,True,,2026-05-15T17:50:27,low
Lassi Shop,Whitefield,"Beverages, Ice Cream",200.0,3.9,gen_50260,True,,2026-05-15T17:50:27,low
Desi Chats,Whitefield,Street Food,200.0,3.9,gen_51359,True,,2026-05-15T17:50:27,low
Hotel Mangala,Banashankari,South Indian,250.0,3.9,gen_667,True,,2026-05-15T17:50:27,low
Vegetarea,BTM,South Indian,250.0,3.9,gen_936,True,,2026-05-15T17:50:27,low
Kalingas,BTM,"Oriya, Fast Food",250.0,3.9,gen_951,True,,2026-05-15T17:50:27,low
Fish Chain,JP Nagar,"Seafood, BBQ, Biryani",250.0,3.9,gen_1032,True,,2026-05-15T17:50:27,low
Pathaan Sir,BTM,"Fast Food, Rolls, Momos",250.0,3.9,gen_1062,True,,2026-05-15T17:50:27,low
Punjabi Corner,Bannerghatta Road,"North Indian, Chinese",250.0,3.9,gen_1191,True,,2026-05-15T17:50:27,low
Asha Sweets Centre,JP Nagar,Fast Food,250.0,3.9,gen_1327,True,,2026-05-15T17:50:27,low
Baskin Robbins,JP Nagar,Ice Cream,250.0,3.9,gen_1709,True,,2026-05-15T17:50:27,low
Desi Vdesi,Shanti Nagar,"Fast Food, North Indian, Rolls",250.0,3.9,gen_2708,True,,2026-05-15T17:50:27,low
Parathe Wali Gali,Wilson Garden,North Indian,250.0,3.9,gen_2942,True,,2026-05-15T17:50:27,low
NV Naidu Hotel,City Market,Biryani,250.0,3.9,gen_3525,True,,2026-05-15T17:50:27,low
Chai Point,Bellandur,"Tea, Beverages, Fast Food",250.0,3.9,gen_4606,True,,2026-05-15T17:50:27,low
Munchies,Brigade Road,"Fast Food, Bakery",250.0,3.9,gen_5351,True,,2026-05-15T17:50:27,low
Desi Bites,Marathahalli,North Indian,250.0,3.9,gen_7126,True,,2026-05-15T17:50:27,low
Ramdev Sagar,Brookefield,"South Indian, Chinese, Street Food",250.0,3.9,gen_7169,True,,2026-05-15T17:50:27,low
New Udupi Delicacy,Whitefield,"South Indian, North Indian, Chinese",250.0,3.9,gen_7330,True,,2026-05-15T17:50:27,low
Baskin Robbins,Brookefield,"Ice Cream, Desserts",250.0,3.9,gen_7344,True,,2026-05-15T17:50:27,low
Luscious Folks,Marathahalli,North Indian,250.0,3.9,gen_7412,True,,2026-05-15T17:50:27,low
Mojo Bites,Whitefield,Fast Food,250.0,3.9,gen_7714,True,,2026-05-15T17:50:27,low
Chai Point,Brookefield,"Tea, Beverages, Fast Food",250.0,3.9,gen_7778,True,,2026-05-15T17:50:27,low
Hatti Punjab Di,Koramangala 1st Block,"North Indian, Chinese",250.0,3.9,gen_8451,True,,2026-05-15T17:50:27,low
Asha Sweets Centre,JP Nagar,"Mithai, Street Food",250.0,3.9,gen_8792,True,,2026-05-15T17:50:27,low
Snakk That,HSR,"Burger, Beverages, Fast Food",250.0,3.9,gen_9388,True,,2026-05-15T17:50:27,low
The Sandwich Club,HSR,Fast Food,250.0,3.9,gen_9420,True,,2026-05-15T17:50:27,low
Desi Vdesi,Church Street,"Fast Food, North Indian, Rolls",250.0,3.9,gen_12267,True,,2026-05-15T17:50:27,low
Delhi Base Sri Food Court,Electronic City,"North Indian, South Indian, Chinese, Street Food",250.0,3.9,gen_13426,True,,2026-05-15T17:50:27,low
Chai Point,Electronic City,"Tea, Beverages, Fast Food",250.0,3.9,gen_13489,True,,2026-05-15T17:50:27,low
Donut Cafe,Electronic City,"Desserts, Fast Food",250.0,3.9,gen_13597,True,,2026-05-15T17:50:27,low
Uma Ki Rasoi,Electronic City,North Indian,250.0,3.9,gen_13658,True,,2026-05-15T17:50:27,low
Chaai Resto,HSR,"Tea, Beverages, Fast Food",250.0,3.9,gen_15838,True,,2026-05-15T17:50:27,low
Bun Maska Chai,Jeevan Bhima Nagar,"Street Food, Fast Food",250.0,3.9,gen_17848,True,,2026-05-15T17:50:27,low
Ramji Chaiwale,Old Airport Road,"Beverages, Fast Food",250.0,3.9,gen_17983,True,,2026-05-15T17:50:27,low
Spicy Corner,Jeevan Bhima Nagar,"Street Food, Fast Food",250.0,3.9,gen_18008,True,,2026-05-15T17:50:27,low
Ande Ka Funda,Banashankari,"North Indian, Fast Food, Rolls",250.0,3.9,gen_19779,True,,2026-05-15T17:50:27,low
The Paratha Stories,JP Nagar,North Indian,250.0,3.9,gen_21376,True,,2026-05-15T17:50:27,low
Despiwich Dragon's Kitchen,Banaswadi,"Chinese, Fast Food",250.0,3.9,gen_24035,True,,2026-05-15T17:50:27,low
29 Degrees North,Banaswadi,"North Indian, Fast Food, Street Food",250.0,3.9,gen_24191,True,,2026-05-15T17:50:27,low
Paratha Plaza,Koramangala 4th Block,North Indian,250.0,3.9,gen_27499,True,,2026-05-15T17:50:27,low
Paratha Plaza,Koramangala 5th Block,North Indian,250.0,3.9,gen_29888,True,,2026-05-15T17:50:27,low
Hotel Janatha,Wilson Garden,South Indian,250.0,3.9,gen_37193,True,,2026-05-15T17:50:27,low
Chai Point,MG Road,"Tea, Fast Food, Beverages, Sandwich",250.0,3.9,gen_37877,True,,2026-05-15T17:50:27,low
Rishi's Paratha Plaza,Sanjay Nagar,North Indian,250.0,3.9,gen_39551,True,,2026-05-15T17:50:27,low
Frozen Coast,Malleshwaram,"Desserts, Ice Cream",250.0,3.9,gen_40006,True,,2026-05-15T17:50:27,low
Bun World,Malleshwaram,"Bakery, Fast Food",250.0,3.9,gen_40009,True,,2026-05-15T17:50:27,low
Brahmin's Coffee Bar,Malleshwaram,South Indian,250.0,3.9,gen_40157,True,,2026-05-15T17:50:27,low
Aastha Bengali Mess,Yeshwantpur,"Chinese, Bengali",250.0,3.9,gen_40354,True,,2026-05-15T17:50:27,low
Gowdru Hotel,Vijay Nagar,"Biryani, South Indian",250.0,3.9,gen_46207,True,,2026-05-15T17:50:27,low
Savji's Roll 'N' Biryani,Vijay Nagar,"North Indian, Chinese, Biryani, Rolls",250.0,3.9,gen_46421,True,,2026-05-15T17:50:27,low
Chai Point,MG Road,"Fast Food, Beverages",250.0,3.9,gen_47436,True,,2026-05-15T17:50:27,low
Chai Point,Bellandur,"Fast Food, Beverages",250.0,3.9,gen_49899,True,,2026-05-15T17:50:27,low
Chai Point,Brookefield,"Fast Food, Beverages",250.0,3.9,gen_50257,True,,2026-05-15T17:50:27,low
Cream & Fudge,Whitefield,"Ice Cream, Desserts",250.0,3.9,gen_50995,True,,2026-05-15T17:50:27,low
T3H Cafe,Banashankari,"Cafe, Italian, American",300.0,3.9,gen_19,True,,2026-05-15T17:50:27,low
Havyaka Mess,Banashankari,South Indian,300.0,3.9,gen_42,True,,2026-05-15T17:50:27,low
Just Shawarma,Kumaraswamy Layout,Arabian,300.0,3.9,gen_191,True,,2026-05-15T17:50:27,low
Kamat Bugle Rock,Basavanagudi,"South Indian, Fast Food",300.0,3.9,gen_293,True,,2026-05-15T17:50:27,low
